Название,Описание проекта,Результат/Цель 
Инфобот,"Финансовой службе заказчика необходимо знать какие контрагенты (~1000) используют упрощенную систему налогообложения.
Проект предполагает автоматизацию сбора и обновления этих данных с помощью технологии роботизации на базе приложения UiPath. Скрипт должен извлекать контрагентов из системы 1С Предприятие, искать атрибут в открытой базе ФНС, и сохранять результат в таблицу Google Docs.
В случае ошибки скрипт должен уметь восстанавливаться, а при невозможности восстановления оповещать финансовую службу.
Работа предполагается по методологии Agile (DSDM), стадия Pre-Project уже выполнена. Для работы участнику проекта будет предоставлен удаленный рабочий стол Windows 10 с установленным приложением UiPath, всеми специализированными приложениями, а также необходимые доступы в тестовые и (в дальнейшем) в продуктивные системы.","Автоматическое извлечение и актуализация информации об атрибутах юридических лиц - контрагентов заказчика из согласованных источников (например, открытой базы ФНС)."
Фотообложки,"Небольшой проект предполагает ежевечернюю загрузку графических файлов для обложек на упаковки с продукцией, которые улучшат впечатления клиентов, облегчат поиск на складе, и помогут избежать ошибок при выдаче.
При помощи технологии роботизации на базе приложения UiPath скрипт должен находить файлы обложек новых заказов, формировать из них небольшие графические файлы, и загружать их во внутреннюю систему (в заказ для печати). В случае ошибки скрипт должен уметь восстанавливаться, а при невозможности восстановления оповещать дежурные контакты.
Работа предполагается по методологии Agile (DSDM), стадия Pre-Project уже выполнена. Для работы участнику проекта может быть предоставлен удаленный рабочий стол Windows 10 с установленным приложением UiPath и, при необходимости, доступ в тестовые и (в дальнейшем) в продуктивные системы.",Конвертация в графический формат и загрузка этикеток для заказов во внутреннюю систему по расписанию.
Fast Print,"Ежедневно поздно вечером партнер заказчика присылает графические файлы с заказами на печать, которые должны быть отправлены клиенту на следующий день. Для этого выделенный работник производит нормализацию файлов в специальном приложении, после чего оформляет заказ на печать во внутренней системе. Далее заказ уходит на производство и печатается автоматически.
Проект подразумевает полную автоматизацию данного участка с помощью технологии роботизации на базе приложения UiPath. Скрипт должен получать файлы по электронной почте, производить их нормализацию в приложении согласно спецификации, оформлять заказ на печать, отправлять краткий отчет о работе. В случае ошибки скрипт должен уметь восстанавливаться, а при невозможности восстановления оповещать дежурного работника.
Работа предполагается по методологии Agile (DSDM), стадия Pre-Project уже выполнена. Для работы участнику проекта будет предоставлен удаленный рабочий стол Windows 10 с установленным приложением UiPath, всеми специализированными приложениями, а также необходимые доступы в тестовые и (в дальнейшем) в продуктивные системы.",Автоматизация ручного участка процесса оформления заказа на печать сборных тиражей
Робот Валера,"Организация использует сложную внутреннюю систему планирования собственной разработки.
В настоящее время работник вручную осуществляет процесс вывода форм на печать из системы согласно ряду простых правил, приведенных в приложении. Сама отправка выглядит как копирование файлов на ftp сервер. Файлы для отправки выбираются по стандарту именования исходя из наличия, плановой даты, времени, и других критериев.
Проект предусматривает полную автоматизацию данного участка с использованием платформы для роботизации UiPath, на которой должен быть написан скрипт. Скрипт должен автоматически запускаться по согласованному графику, открывать необходимые приложения, выполнять проверки, производить отправку заданий на печать, отмечать отправленные задания и формировать краткий отчет о своей работе. В случае ошибки скрипт должен уметь восстанавливаться, а при невозможности восстановления оповещать дежурного работника по электронной почте и мессенджеру.
Работа предполагается по методологии Agile (DSDM), стадия Pre-Project уже выполнена. Для работы участнику проекта будет предоставлен удаленный рабочий стол Windows 10 с установленным приложением UiPath, всеми специализированными приложениями, а также необходимые доступы в тестовые и (в дальнейшем) в продуктивные системы.",Автоматическая регулярная отправка печатных форм на вывод согласно очереди печати.
Робот Вера,"Финансовая служба заказчика тратит значительные ресурсы на формирование и отправку актов сверок своим контрагентам, напоминания, и контроль получения ответов.
Проект предполагает автоматизацию формирования, отправки актов сверок взаиморасчетов, и контроль получения ответов с помощью технологии роботизации на базе приложения UiPath. Скрипт UiPath должен формировать акт сверки из системы 1С Предприятие, отправлять акт на адреса электронной почты контрагента, получать ответ, и вести реестр отправленных актов и полученных ответов в таблице Google Docs в виде: контрагент, акт отправлен (дата), ответ получен (дата). В случае, если ответ не получен в течение нескольких дней, должна производиться повторная отправка акта.
На первом этапе все ответы отправляются на ручную обработку финансовому специалисту. На втором этапе будет добавлена проверка согласован ли акт, и специалисту будут отправляться только несогласованные акты.
В случае ошибки скрипт должен уметь восстанавливаться, а при невозможности восстановления оповещать финансовую службу.
Работа предполагается по методологии Agile (DSDM), стадия Pre-Project уже выполнена. Для работы участнику проекта будет предоставлен удаленный рабочий стол Windows 10 с установленным приложением UiPath, всеми специализированными приложениями, а также необходимые доступы в тестовые и (в дальнейшем) в продуктивные системы.","Регулярное формирование актов сверок по контрагентам заказчика, рассылка актов по электронной почте, и мониторинг ответов."
Cursiva digits,"Написать на языке python и обучить нейронную сеть, которая будет уметь определять рукописные цифры по фото или картинке.",Научить нейронную сеть определять рукописные цифры. 
Cursiva littera,"Написать на языке python и обучить нейронную сеть, которая будет уметь определять рукописные буквы по фото или картинке.",Научить нейронную сеть определять рукописные буквы. 
Задачи классификации,"Написать на языке python и обучить нейронную сеть, которая будет уметь определять объекты на картинке.",Научить нейронную сеть распознавать и классифицировать объекты на картинке 
Генерация изображнеий,Генерация изображений позволит в короткие сроки получить миллионы кадров для обучения нейронных сетей для распознавания образов в разных промышленных областях деятельности.  ,Генерировать изображения  
Умный холодильник,Обучить систему распознавать продукты на изображении.  ,Распознавать по изображению продукты питания и их состояние.  
"Нейронные сети, как инструмент по распознаванию радиотехнических сигналов","Необходимо разработать алгоритм, который с помощью 4 параметров: мат.ожидание, эксцесс и ассиметрия – позволят распознать сигнал в различных вариантах – полезный сигнал отсутствует (только помеха), сигнал+помеха и др. ","Разработка алгоритма распознавания радиотехнических сигналов, позволит осуществлять процедуру разделения полезного сигнала от помех и шумов. Это позволит быстро обнаружить полезный сигнал, без привлечения человека и влияния какой-либо человеческой ошибки."
"Нейронные сети, как инструмент по проверке качества изготовления печатных плат","Необходимо разработать алгоритм, который будет измерять габариты изготовленного устройства, и сверять все размеры с размерами устройства, которые были получены для его изготовления.","Разработка алгоритма анализа качества изготовления печатных плат (топологий устройств). Это позволит быстро и просто оценить качество изготовления печатных проводников, на соответствие заявленным габаритам. Это позволит быстро определить брак при производстве печатных проводников на СВЧ подложках."
"Нейронные сети, как инструмент нормоконтроля печатных документов","Необходимо разработать алгоритм, который с помощью анализа таких параметров, как: шрифт, межстрочный интервал, красная строка, и др. определить на соответствие требуемым ГОСТам.","Разработка алгоритма, позволяющего распознать соответствие набранного печатного текста к ГОСТу. Это позволит ускорить процесс проверки документов на качество оформления документов."
"Нейронные сети, как инструмент по распознаванию очереди","Необходимо разработать алгоритм, который с помощью датчиков определяет, например, очереди на кассах. Это позволит определить график работ персонала той или иной компании.","Разработка алгоритма распознаванию очереди (пробок), что позволит перенаправлять потоки людей по более оптимальному маршруту. Это позволит сэкономить время людей потраченное в очереди или пробках."
Распознавание рукописных цифр с помощью нейронной сети,Необходимо будет скачать подходящий датасет для обучающей и тестовой выборок. Использовать TensorFlow и Python (Jupyter Ipython notebook).,"После заполнения различных рукописных бланков (почтовые отправления, формы документов) стоит задача распознавания набора цифр. Например, за счет этого ускоряется сортировка потока документов. Необходимо автоматизировать задачу."
Анализ тональности текста с помощью нейросетей.,"Скачать корпус коротких текстов Юлии Рубцовой.
Спарсить отзывы из твиттера по выбранному интернет-магазину.
Провести предварительную обработку отзывов.
Подготовить данные в пропорции 4:1 (где 4 это обучающая выборка из скаченного корпуса, а 1 это наши спарсенные отзывы (или высказывания)).
Использовать библиотеку Keras для разработки сверточной нейронной сети.
Протестировать нейронную сеть на тестовой выборке корпуса коротких текстов Юлии Рубцовой.
Подготовить итоговый результат для выбранного магазина.","В отзывах к интернет-магазинам часто пишут отзывы.  Когда их мало, то можно успеть прочесть все и получить эмоциональный отклик. Однако, когда их много, то это становится затруднительным. Поэтому важно уметь автоматизировать процесс. "
Анализ тональности финансовых новостей и их взаимосвязь с показателями Российского фондового рынка,"В рамках этого проекта будут выполнены следующие задачи:
Создание базы финансовых текстов, содержащих аналитику или новости по крупным публичным российским компаниям. Период 5-10 лет.
Извлечение рыночных настроений из каждого текста с использованием Словаря оценочных слов и выражений русского языка “РуСентиЛекс”.
Проведение описательного статистического анализа переменных настроений рынка.
Оценить влияние положительных и отрицательных рыночных настроений на показатели торговли для компаний, чьи акции входят в состав индекса МосБиржи. ","Анализ влияния рыночных настроений на показатели Российского фондового рынка: волатильность, объем торговли и изменение цен акций – на основе  сентимент-анализа финансовых текстов с аналитических платформ (например, http://mfd.ru/). "
Оценка привлекательности крупных Российских городов (регионов) на основе статистического анализа экономических факторов,"В рамках этого проекта будут выполнены следующие задачи:
Сбор и обработка данных:
Необходимо собрать данные по российским городам за последний доступный год по таким характеристикам, как плотность населения, безработица и т. д.
Применение к собранным данным методов статистического анализа
Визуализация полученных результатов (например, построение тепловых карт).",Исследование привлекательности крупных городов России на основании статистического анализа экономических и социо-экономических показателей.
Анализ тональности финансовых новостей и прогноз цен акций на Российском фондовом рынке в режиме реального времени.,"Проект разбивается на три части:
1) Web-scrapping:
Необходимо написать скрипт на Python, используя который можно было бы извлечь соответствующие комментарии/новости на агрегаторах финансовых новостей. 
2) Sentiment-analysis:
Извлечение рыночных настроений из каждого текста с использованием Словаря оценочных слов и выражений русского языка “РуСентиЛекс”. 
3) Price forecast:
Использование переменных настроений рынка в качестве объясняющих факторов цены закрытия акций публичных российских компаний с помощью линейной регрессии.",Анализ динамики рынка акций России в режиме реального времени  на основе моделей использующих рыночные настроения (market sentiments) в качестве объясняющих факторов.
Система автоматической постановки диагноза по рентгенографии органов грудной клетки,,"Разработка модели машинного обучения, решающей задачу поиска и классификации аномалий на снимках рентгенографии грудной клетки."
Выделение клеток на снимках микроскопии и их классификация с помощью методов машинного обучения,,"Разработка модели машинного обучения, решающей задачу сегментации и классификации клеток на снимках электронной микроскопии."
"Анализ скрытого представления предложений, получившегося в ходе работы различных алгоритмов машинного обучения",,"Анализ векторного пространства, образованного векторами скрытого представления предложений. Определение взаимосвязи кластеров, получившихся в результате кластеризации, и лейблов предложений."
,,"Проанализировать подключения к корпоративной сети Wi-Fi. Организовать автоматическое ведение базы устройств, использующих Wi-Fi, сбор статистики подключений, аудит успешности подключения. Автоматическое определение вендоров устройств. По анализу журналов аудита с базовых станций составить профиль пользователя (определять «ореол обитания») "
,,"При помощи технологий нейронных сетей провести анализ БД подключаемых устройств Wi-Fi. Собрать стенд. Автоматическое оповещение по факту аномального поведения владельца устройства WiFi (по «ореолу обитания», либо по иной активности) "
,,Инструмент контроля распределения АРМ по OU в домене Банка с учетом обрабатываемой на АРМ категорией информации через анализ полномочий ЭП пользователя.
,,"Зафиксированы факты некорректного применения групповых доменных политик к АРМ. Требуется провести исследовательскую работу по определению признаков (прямых или косвенных) позволяющих дистанционно выявлять такие АРМ (анализ логов домена, АРМ, системы централизованного управления АРМ - SCCM). Разработка инструмента анализа и выявления."
,,"C помощью машинного обучения и нейронных сетей, создать инструмент анализа видеопотока с камер наблюдения, для выявления перемещения обслуживающего персонала (клининг и т.п.). Анализ перемещения такого персонала и возможность анализа перемещения специализированного оборудования (пылесос, тележка с расходными материалами). Пример реализации аналогичной задачи: https://tproger.ru/translations/parking-searching/"
,,"Анализ стабильности трех точек на теле человека. Выбираем три точки: на центромассе человека, под шеей на плечах, на голове. Необходимо узнать какая точка наиболее стабильна при ходьбе. Для этого будут использоваться сенсоры телефона гироскоп и акселерометр. Алгоритм такой: а) запускаем приложение из market’а, которое сохраняет значения сенсоров. б) закрепляем телефон на заданной точке. в) запускаем запись. г) ходим 30 минут. д) меняем точчку записи. е) собираем данные со всей команды ж) визуализируем графики з) считаем среднюю дисперсию для каждой точки по набору данных."
,,"Написать мобильное приложение, которое превращает телефон в мышку. Берем данные акселерометра. Преобразуем их в стандартные команды мышки. Подключаем телефон по bluetooth к компьютеру. Написать драйвер к винде. Можно разделить на две задачи."
Расширенный модуль рассчета и анализа боковой ТРГ головы в программе CephLab (определение скелетного возраста пациентов в зависимости от стадии формирования шейных позвонков),,"Создание дополнительного модуля для определения скелетного возраста пациентов в зависимости от стадии формирования шейных позвонков согласно боковой ТРГ головы для модернизации клинической работы врача-ортодонта, компьютеризированной обработки данных пациентов. 

Дополнительный модуль позволит загружать в программу боковые ТРГ пациентов, производить анализ формы, размера и пропорции шейных позвонков, получать вывод о стадии скелетного возраста пациентов, производить экспорт полученных данных в word-файл"
Программа для рассчета и анализа прямой ТРГ,,"Создание программы для рассчета и анализа линейных и угловых показателей прямой ТРГ для модернизации клинической работы врача-ортодонта, компьютеризированной обработки данных пациентов. Программа позволит загружать рентгеновские снимки (прямую ТРГ), расставлять точки для рассчетов, получать линейные и угловые показатели, производить экспорт полученных данных  в word-файл."
Расширенный модуль рассчета и анализа боковой ТРГ головы в программе CephLab (угловые и линейные показатели ТРГ головы в боковой проекции приложения № 3 карты Персина),,"Создание дополнительного модуля для рассчета и анализа линейных и угловых показателей боковой ТРГ головы (приложение №3 карты Персина) для модернизации клинической работы врача-ортодонта, компьютеризированной обработки данных пациентов. Дополнительный модуль позволит загружать в программу боковые ТРГ пациентов, расставлять ориентировочные точки на костные, зубные и мягкотканные контуры, получать линейные и угловые показатели, указанные в приложении № 3 карты Персина, производить экспорт полученных цефалометрических данных в word-файл"
Расширенный модуль рассчета и анализа боковой ТРГ головы в программе CephLab (определение площади носоглоточной области),,"Создание дополнительного модуля для определения площади носоглоточной области и рассчета объема дыхательных путей по данных боковой ТРГ головы пациентов с нарушением носового дыхания для модернизации клинической работы врача-ортодонта, компьютеризированной обработки данных пациентов. 

Дополнительный модуль позволит загружать в программу боковые ТРГ пациентов, производить расстановку ориентировочных точек и плоскостей, проводить необходимые рассчеты, производить экспорт полученных данных в word-файл"
Разработка сайта ДПО ИРИТ-РтФ,Разработка сайта ДПО ИРИТ-РтФ должна вестись в тесной интеграции с ДИТ УрФУ. Сайт должен быть завязан на часть онлайн-сервисов УрФУ.,Для развития дополнительного профессионального образования необходимо спроектировать и запустить сайт ДПО ИРИТ-РтФ
Разработка мобильного приложения (веб-сервиса) по открытым данным,"Сервис должен использовать открытые данные из разных источников (data.gov.ru, open.gov.ru, data.mos.ru и др.). ","Для развития и активного использования данных государственных органов, а также их стандартизации и актуализации требуется разработка различных востребованных сервисов использующих открытые данные."
Проектирование сайта ИнФО УрФУ,Сайт должен использовать текущую платформу TYPO3. ,Для дальнейшего развития Института фундаментального образования необходимо спроектировать и реализовать новый вариант сайта ИнФО.
Система прогнозирования поступления на ИРИТ-РтФ,"Система должна строить графики проходного балла за предыдущие 2 года по всем направлениям ИРИТ-РтФ с учетом количества бюджетных мест, а также показывать приблизительный прогноз проходного балла по указанному количеству бюджетных мест.",Система прогнозирования поступления в УрФУ (ИРИТ-РтФ) проходных баллов ЕГЭ  по динамике предыдущих периодов
SMM продвижение группы Абитуриент ИРИТ-РтФ в социальной сети с помощью API,"Реализовать комплексное продвижение группы в ВКонтакте, включая составление SMM-стратегии, графическое оформление групп, написание и реализация чек-листа создания сообщества, создание контент-стратегии, управление репутацией в социальных сетях, конкурсы в социальных сетях максимально используя API ВК.",Реализовать механизмы комплексного продвижения группы в ВКонтакте с помощью API
Система презентации информации по проектам студентов,"Система должна иметь систему авторизации, возможность загрузки описания проектов, включая изображения (фотогалерею), загрузку других типов файлов, облако тегов, иерархический каталог проектов. Доработка и улучшение функциональности текущей системы project-it.info.",Доработка и улучшение функциональности текущей системы презентации проектов project-it.info.
Сегментация многоцветного меша для 3D печати.,Продолжение проекта первого семестра.  Предполагается оптимизация алгоритмов хранения и разрезания. Оптимизация хранения и генерации новых точек разбиения на основе kd-деревевьев и окто-деревьев. В конце семестра ожидаются натурные испытания с 3d принтером.,
